measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Nigeria,Both,All Ages,Malaria,Number,2017,54149553.04,76288653,37039156.49
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2017,0.045920095,0.064306975,0.031728509
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2017,26602.27019,37478.63547,18196.37639
Incidence,Nigeria,Both,All Ages,Malaria,Number,2016,54120547.24,72826077.45,41327784.82
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2016,0.047363561,0.06306112,0.036016183
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2016,27323.05694,36766.6471,20864.56024
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2016,301127.3038,344716.2136,262739.0005
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2016,0.000263682,0.000303428,0.000227661
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2016,152.0257811,174.0318828,132.6452343
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2018,296241.0385,339584.6256,258587.9883
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2018,0.000244268,0.000281718,0.000211044
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2018,141.6649686,162.3922383,123.6589617
Incidence,Nigeria,Both,All Ages,Malaria,Number,2018,55898942.79,76776936.63,37750974.75
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2018,0.04603781,0.062934747,0.031400625
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2018,26731.34693,36715.38005,18052.83521
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2019,288258.0519,332511.3206,250779.5088
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2019,0.000230876,0.000266804,0.000198922
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2019,134.1834895,154.7832888,116.7373101
Incidence,Nigeria,Both,All Ages,Malaria,Number,2019,58143458.23,77565975.1,40113626.16
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2019,0.046512606,0.062380036,0.031891504
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2019,27065.65199,36106.79089,18672.8048
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2010,549.9669607,663.1400999,456.1116761
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2010,3.66E-05,4.39E-05,3.01E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2010,19.37896372,23.36679993,16.07182296
Incidence,Oman,Both,All Ages,Malaria,Number,2010,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2010,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2010,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Number,2009,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2009,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2009,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2009,525.3408851,632.4925971,438.6677181
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2009,3.68E-05,4.41E-05,3.05E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2009,19.54377855,23.53004612,16.31935565
Incidence,Oman,Both,All Ages,Malaria,Number,2012,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2012,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2012,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Number,2011,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2011,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2011,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2011,608.4085646,735.9539763,504.2840901
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2011,3.65E-05,4.39E-05,2.98E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2011,19.17248195,23.19175821,15.89125824
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2012,667.016421,808.9399078,551.9396198
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2012,3.55E-05,4.27E-05,2.89E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2012,18.52708008,22.46915365,15.33070133
Incidence,Oman,Both,All Ages,Malaria,Number,2013,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2013,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2013,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2013,666.8822241,815.0927074,551.4325679
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2013,3.33E-05,4.04E-05,2.71E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2013,17.35723563,21.21477477,14.35237688
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2014,635.8337876,769.9093441,526.6909787
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2014,3.07E-05,3.74E-05,2.51E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2014,16.04714332,19.43093593,13.29260223
Incidence,Oman,Both,All Ages,Malaria,Number,2014,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2014,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2014,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2015,618.2084711,753.0657877,513.2433343
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2015,2.87E-05,3.48E-05,2.33E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2015,14.98392257,18.25254745,12.43981398
Incidence,Oman,Both,All Ages,Malaria,Number,2015,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2015,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2015,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2016,614.576716,736.8722675,513.694677
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2016,2.69E-05,3.26E-05,2.22E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2016,14.0592225,16.85688848,11.7514178
Incidence,Oman,Both,All Ages,Malaria,Number,2016,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2016,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2016,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Number,2017,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2017,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2017,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2017,606.0498057,722.6644641,504.8753878
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2017,2.56E-05,3.09E-05,2.11E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2017,13.43985147,16.02591564,11.19619239
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2018,599.2268278,720.0297731,502.6468948
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2018,2.51E-05,3.04E-05,2.07E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2018,13.23209827,15.89966315,11.09942479
Incidence,Oman,Both,All Ages,Malaria,Number,2018,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2018,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2018,0,0,0
Incidence,Oman,Both,All Ages,Tuberculosis,Number,2019,602.1810464,729.2884402,499.8520214
Incidence,Oman,Both,All Ages,Tuberculosis,Percent,2019,2.49E-05,3.03E-05,2.04E-05
Incidence,Oman,Both,All Ages,Tuberculosis,Rate,2019,13.13658886,15.90943862,10.90427959
Incidence,Oman,Both,All Ages,Malaria,Number,2019,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Percent,2019,0,0,0
Incidence,Oman,Both,All Ages,Malaria,Rate,2019,0,0,0
Incidence,Peru,Both,All Ages,Tuberculosis,Number,2010,28497.96806,33318.76358,24356.5251
Incidence,Peru,Both,All Ages,Tuberculosis,Percent,2010,0.000164166,0.000194078,0.000139327
Incidence,Peru,Both,All Ages,Tuberculosis,Rate,2010,98.57235292,115.2471262,84.24740958
Incidence,Peru,Both,All Ages,Malaria,Number,2010,56559.09515,67056.2601,47316.79605
Incidence,Peru,Both,All Ages,Malaria,Percent,2010,0.000325789,0.000384925,0.000270306
Incidence,Peru,Both,All Ages,Malaria,Rate,2010,195.6337054,231.9426186,163.6652799
Incidence,Peru,Both,All Ages,Malaria,Number,2009,68743.11358,79526.3472,59347.68599
Incidence,Peru,Both,All Ages,Malaria,Percent,2009,0.00040136,0.000463785,0.000342503
Incidence,Peru,Both,All Ages,Malaria,Rate,2009,241.0402893,278.8505312,208.0962391
Incidence,Peru,Both,All Ages,Tuberculosis,Number,2009,28243.95337,32853.70296,24152.79275
Incidence,Peru,Both,All Ages,Tuberculosis,Percent,2009,0.000164916,0.000193901,0.000139959
Incidence,Peru,Both,All Ages,Tuberculosis,Rate,2009,99.0343663,115.1979544,84.68915427
Incidence,Peru,Both,All Ages,Malaria,Number,2012,76852.65936,85968.62122,68147.76284
Incidence,Peru,Both,All Ages,Malaria,Percent,2012,0.000425668,0.000483798,0.000374729
Incidence,Peru,Both,All Ages,Malaria,Rate,2012,256.1544618,286.5385022,227.1405266
Incidence,Peru,Both,All Ages,Tuberculosis,Number,2011,28250.55565,32902.35208,24103.18852
Incidence,Peru,Both,All Ages,Tuberculosis,Percent,2011,0.000159955,0.00018795,0.000136159
Incidence,Peru,Both,All Ages,Tuberculosis,Rate,2011,96.11457427,111.941004,82.00432345
Incidence,Peru,Both,All Ages,Tuberculosis,Number,2012,27491.19641,31868.32153,23460.00473
Incidence,Peru,Both,All Ages,Tuberculosis,Percent,2012,0.000152278,0.000179894,0.000129076
Incidence,Peru,Both,All Ages,Tuberculosis,Rate,2012,91.62978459,106.2190017,78.19358413
Incidence,Peru,Both,All Ages,Malaria,Number,2011,62812.72664,71865.38589,54542.78914
Incidence,Peru,Both,All Ages,Malaria,Percent,2011,0.000355618,0.000407965,0.000306313
Incidence,Peru,Both,All Ages,Malaria,Rate,2011,213.7026455,244.5017739,185.5665079
Incidence,Peru,Both,All Ages,Tuberculosis,Number,2013,26591.3664,31049.80496,22654.3433
Incidence,Peru,Both,All Ages,Tuberculosis,Percent,2013,0.000143321,0.00016849,0.000121325
Incidence,Peru,Both,All Ages,Tuberculosis,Rate,2013,86.39391166,100.8791375,73.60273647
Incidence,Peru,Both,All Ages,Malaria,Number,2013,94420.39596,105554.4888,83908.94152
Incidence,Peru,Both,All Ages,Malaria,Percent,2013,0.000508865,0.000573797,0.000446654
Incidence,Peru,Both,All Ages,Malaria,Rate,2013,306.7667613,342.940827,272.6156141
Incidence,Peru,Both,All Ages,Tuberculosis,Number,2014,25770.70877,30294.02094,21896.80216
Incidence,Peru,Both,All Ages,Tuberculosis,Percent,2014,0.000135372,0.000159625,0.000113809
Incidence,Peru,Both,All Ages,Tuberculosis,Rate,2014,81.76425512,96.11563571,69.473282
Incidence,Peru,Both,All Ages,Malaria,Number,2014,110113.9586,124212.3389,96152.7171
Incidence,Peru,Both,All Ages,Malaria,Percent,2014,0.00057838,0.000659538,0.00050401
Incidence,Peru,Both,All Ages,Malaria,Rate,2014,349.3650828,394.0958494,305.0694244
